asin,brand_grouped_50,bo_nest,clip_nest
B07NX7Q9NB,Crest,4,3
B07P6LR9ZD,Tom's of Maine,3,4
B07P7QRCWB,Tom's of Maine,3,4
B07PQYJBM3,Other,5,5
B07QQVJ629,Crest,1,3
B07R6T4RPG,Crest,5,3
B07RD76M8V,Crest,5,3
B07RLL3KBF,Crest,5,3
B07RXKQLBT,Parodontax,3,1
B07SG3Y66Y,SENSODYNE PRONAMEL,3,1
B07T9CHV4S,Orajel,1,5
B07XRY29X5,Crest,1,3
B07YXDVT9W,Sensodyne,3,1
B07ZK1573S,Crest,2,3
B0823YDCWF,Colgate,5,2
B082F1LVBR,Colgate,5,2
B082F1MGLZ,Colgate,5,2
B082F1Q1T9,Colgate,5,2
B082F1QH7S,Colgate,5,2
B082VK8TQ1,Tom's of Maine,2,4
B082VL6SH9,Tom's of Maine,2,4
B083JHCCV2,Other,1,5
B083ZNZPGK,Other,5,5
B084ZJ6541,Sensodyne,3,1
B086Y299CH,Parodontax,1,1
B08CYCJFVQ,Other,1,5
B08L8R52HZ,Colgate,5,2
B08MMD7T1Q,Crest,3,3
B08MMFMSZW,Crest,3,3
B09JHSVM58,Other,1,5
